WARNING (------): DXF version not recognised or not release 12-15.
ASCII DXF release 15 is recommended
XRECORD: name="ACAD_CIP_PREVIOUS_PRODUCT_INFO", handle="8FF", group="280", value="     1"
WARNING (026980): XRECORD object group 300 unknown/not supported - ignored.
WARNING (026982): XRECORD object group 300 unknown/not supported - ignored.
WARNING (026984): XRECORD object group 300 unknown/not supported - ignored.
XRECORD: name="ACDB_RECOMPOSE_DATA", handle="BC5", group="280", value="     1"
WARNING (027490): XRECORD object group 90 unknown/not supported - ignored.
WARNING (027640): XRECORD object group 290 unknown/not supported - ignored.
WARNING (033284): XRECORD object group 270 unknown/not supported - ignored.
WARNING (033286): XRECORD object group 271 unknown/not supported - ignored.
WARNING (033324): XRECORD object group 270 unknown/not supported - ignored.
WARNING (033326): XRECORD object group 271 unknown/not supported - ignored.
WARNING (033364): XRECORD object group 270 unknown/not supported - ignored.
WARNING (033366): XRECORD object group 271 unknown/not supported - ignored.
WARNING (033406): XRECORD object group 148 unknown/not supported - ignored.
WARNING (033408): XRECORD object group 149 unknown/not supported - ignored.
WARNING (033410): XRECORD object group 149 unknown/not supported - ignored.
WARNING (033412): XRECORD object group 93 unknown/not supported - ignored.
WARNING (033414): XRECORD object group 94 unknown/not supported - ignored.
WARNING (033416): XRECORD object group 282 unknown/not supported - ignored.
WARNING (033418): XRECORD object group 72 unknown/not supported - ignored.
WARNING (033420): XRECORD object group 77 unknown/not supported - ignored.
WARNING (033422): XRECORD object group 171 unknown/not supported - ignored.
WARNING (033424): XRECORD object group 175 unknown/not supported - ignored.
WARNING (033426): XRECORD object group 179 unknown/not supported - ignored.
WARNING (033428): XRECORD object group 273 unknown/not supported - ignored.
WARNING (033466): XRECORD object group 270 unknown/not supported - ignored.
WARNING (033468): XRECORD object group 271 unknown/not supported - ignored.
WARNING (033506): XRECORD object group 270 unknown/not supported - ignored.
WARNING (033508): XRECORD object group 271 unknown/not supported - ignored.
WARNING (033546): XRECORD object group 270 unknown/not supported - ignored.
WARNING (033548): XRECORD object group 271 unknown/not supported - ignored.
WARNING (033608): XRECORD object group 270 unknown/not supported - ignored.
WARNING (033610): XRECORD object group 271 unknown/not supported - ignored.
WARNING (033648): XRECORD object group 270 unknown/not supported - ignored.
WARNING (033650): XRECORD object group 271 unknown/not supported - ignored.
WARNING (033688): XRECORD object group 270 unknown/not supported - ignored.
WARNING (033690): XRECORD object group 271 unknown/not supported - ignored.
WARNING (033730): XRECORD object group 1 unknown/not supported - ignored.
WARNING (033734): XRECORD object group 90 unknown/not supported - ignored.
WARNING (034400): XRECORD object group 90 unknown/not supported - ignored.
WARNING (034402): XRECORD object group 91 unknown/not supported - ignored.
WARNING (034404): XRECORD object group 1 unknown/not supported - ignored.
WARNING (034406): XRECORD object group 92 unknown/not supported - ignored.
WARNING (034408): XRECORD object group 93 unknown/not supported - ignored.
WARNING (034410): XRECORD object group 2 unknown/not supported - ignored.
WARNING (034412): XRECORD object group 94 unknown/not supported - ignored.
WARNING (034414): XRECORD object group 95 unknown/not supported - ignored.
WARNING (034416): XRECORD object group 3 unknown/not supported - ignored.
WARNING (034956): XRECORD object group 280 unknown/not supported - ignored.
WARNING (034964): XRECORD object group 280 unknown/not supported - ignored.
WARNING (034972): XRECORD object group 280 unknown/not supported - ignored.
WARNING (034980): XRECORD object group 280 unknown/not supported - ignored.
WARNING (034988): XRECORD object group 280 unknown/not supported - ignored.
WARNING (034996): XRECORD object group 280 unknown/not supported - ignored.
WARNING (035004): XRECORD object group 280 unknown/not supported - ignored.
WARNING (035012): XRECORD object group 280 unknown/not supported - ignored.
WARNING (035020): XRECORD object group 280 unknown/not supported - ignored.
WARNING (035028): XRECORD object group 90 unknown/not supported - ignored.
